route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
102,31,t3A2-b3FD-sl1F,"Mountain Center",0,1021,3280_shp,1,0
102,31,t411-b3FD-sl1F,"Giant",1,1021,3282_shp,1,0
102,31,t415-b3FE-sl1F,"Mountain Center",0,1022,3280_shp,1,0
102,31,t484-b3FE-sl1F,"Giant",1,1022,3282_shp,1,0
102,31,t4B0-b3FD-sl1F,"Mountain Center",0,1021,3280_shp,1,0
102,31,t51F-b3FD-sl1F,"Giant",1,1021,3282_shp,1,0
102,31,t523-b3FE-sl1F,"Mountain Center",0,1022,3280_shp,1,0
102,31,t592-b3FE-sl1F,"Giant",1,1022,3282_shp,1,0
102,31,t596-b3FD-sl1F,"Mountain Center",0,1021,3280_shp,1,0
102,31,t605-b3FD-sl1F,"Giant",1,1021,3282_shp,1,0
102,31,t609-b3FE-sl1F,"Mountain Center",0,1022,3280_shp,1,0
102,31,t678-b3FE-sl1F,"Giant",1,1022,3282_shp,1,0
102,31,t6A4-b3FD-sl1F,"Mountain Center",0,1021,3280_shp,1,0
102,31,t713-b3FD-sl1F,"Giant",1,1021,3282_shp,1,0
102,31,t717-b3FE-sl1F,"Mountain Center",0,1022,3280_shp,1,0
102,31,t78A-b3FD-sl1F,"Mt Pocono",0,1021,3281_shp,1,0
102,31,t790-b3FE-sl1F,"Giant",1,1022,3283_shp,1,0
102,31,t7EE-b3FE-sl1F,"Mt Pocono",0,1022,3281_shp,1,0
102,31,t7F4-b3FD-sl1F,"Giant",1,1021,3283_shp,1,0
103,28,t2CB-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t2E5-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t32F-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t34C-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t3A2-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t3BF-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t415-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t45A-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t4B0-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t4CD-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t523-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t540-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t596-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t5B3-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t609-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t64E-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t6A4-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t6C1-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t717-b425-sl1C,"Millwood / APCP",0,1061,3370_shp,1,0
103,28,t734-b425-sl1C,"Kalahari",1,1061,3363_shp,1,0
103,28,t78A-b425-sl1C,"Millwood / APCP",0,1061,3364_shp,1,0
103,28,t7D0-b425-sl1C,"Kalahari",1,1061,3362_shp,1,0
103,28,t7EE-b425-sl1C,"Millwood / APCP",0,1061,3364_shp,1,0
103,28,t834-b425-sl1C,"Kalahari",1,1061,3362_shp,1,0
103,28,t852-b425-sl1C,"Millwood / APCP",0,1061,3364_shp,1,0
103,28,t898-b425-sl1C,"Kalahari",1,1061,3362_shp,1,0
103,28,t901-b425-sl1C,"Millwood / APCP",0,1061,3364_shp,1,0
103,29,t2CB-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t2E5-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t32F-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t34C-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t3A2-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t3BF-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t415-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t45A-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t4B0-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t4CD-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t523-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t540-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t596-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t5B3-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t609-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t64E-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t6A4-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t6C1-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t717-b425-sl1D,"Millwood / APCP",0,1061,3366_shp,1,0
103,29,t734-b425-sl1D,"Kalahari",1,1061,3361_shp,1,0
103,29,t78A-b425-sl1D,"Millwood / APCP",0,1061,3360_shp,1,0
103,29,t7D0-b425-sl1D,"Kalahari",1,1061,3365_shp,1,0
103,29,t7EE-b425-sl1D,"Millwood / APCP",0,1061,3360_shp,1,0
103,29,t834-b425-sl1D,"Kalahari",1,1061,3365_shp,1,0
103,29,t852-b425-sl1D,"Millwood / APCP",0,1061,3360_shp,1,0
103,29,t898-b425-sl1D,"Kalahari",1,1061,3365_shp,1,0
103,29,t901-b425-sl1D,"Millwood / APCP",0,1061,3360_shp,1,0
103,30,t2CB-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t2E5-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t32F-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t34C-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t3A2-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t3BF-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t415-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t45A-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t4B0-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t4CD-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t523-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t540-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t596-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t5B3-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t609-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t64E-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t6A4-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t6C1-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t717-b425-sl1E,"Millwood / APCP",0,1061,3369_shp,1,0
103,30,t734-b425-sl1E,"Kalahari",1,1061,3368_shp,1,0
103,30,t78A-b425-sl1E,"Millwood / APCP",0,1061,3367_shp,1,0
103,30,t7D0-b425-sl1E,"Kalahari",1,1061,3371_shp,1,0
103,30,t7EE-b425-sl1E,"Millwood / APCP",0,1061,3367_shp,1,0
103,30,t834-b425-sl1E,"Kalahari",1,1061,3371_shp,1,0
103,30,t852-b425-sl1E,"Millwood / APCP",0,1061,3367_shp,1,0
103,30,t898-b425-sl1E,"Kalahari",1,1061,3371_shp,1,0
103,30,t901-b425-sl1E,"Millwood / APCP",0,1061,3367_shp,1,0
103,31,t2CB-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t2E5-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t32F-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t34C-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t3A2-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t3BF-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t415-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t45A-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t4B0-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t4CD-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t523-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t540-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t596-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t5B3-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t609-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t64E-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t6A4-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t6C1-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t717-b425-sl1F,"Millwood / APCP",0,1061,3291_shp,1,0
103,31,t734-b425-sl1F,"Kalahari",1,1061,3293_shp,1,0
103,31,t78A-b425-sl1F,"Millwood / APCP",0,1061,3292_shp,1,0
103,31,t7D0-b425-sl1F,"Kalahari",1,1061,3294_shp,1,0
103,31,t7EE-b425-sl1F,"Millwood / APCP",0,1061,3292_shp,1,0
103,31,t834-b425-sl1F,"Kalahari",1,1061,3294_shp,1,0
103,31,t852-b425-sl1F,"Millwood / APCP",0,1061,3292_shp,1,0
103,31,t898-b425-sl1F,"Kalahari",1,1061,3294_shp,1,0
103,31,t901-b425-sl1F,"Millwood / APCP",0,1061,3292_shp,1,0
103,32,t2CB-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t2E5-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t32F-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t34C-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t3A2-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t3BF-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t415-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t45A-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t4B0-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t4CD-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t523-b425-sl20,"Millwood / APCP",0,1061,3276_shp,1,0
103,32,t540-b425-sl20,"Kalahari",1,1061,3278_shp,1,0
103,32,t64E-b426-sl20,"Kalahari",1,1062,3278_shp,1,0
103,32,t6A4-b426-sl20,"Millwood / APCP",0,1062,3276_shp,1,0
103,32,t6C1-b426-sl20,"Kalahari",1,1062,3278_shp,1,0
103,32,t717-b426-sl20,"Millwood / APCP",0,1062,3276_shp,1,0
103,32,t734-b426-sl20,"Kalahari",1,1062,3278_shp,1,0
103,32,t78A-b426-sl20,"Millwood / APCP",0,1062,3277_shp,1,0
103,32,t7D0-b426-sl20,"Kalahari",1,1062,3279_shp,1,0
103,32,t7EE-b426-sl20,"Millwood / APCP",0,1062,3277_shp,1,0
103,32,t834-b426-sl20,"Kalahari",1,1062,3279_shp,1,0
103,32,t852-b426-sl20,"Millwood / APCP",0,1062,3277_shp,1,0
103,32,t898-b426-sl20,"Kalahari",1,1062,3279_shp,1,0
103,32,t901-b426-sl20,"Millwood / APCP",0,1062,3277_shp,1,0
401,28,t20A-b3F3-sl1C,"Toby Army Depot",0,1011,3302_shp,1,0
401,28,t668-b42F-sl1C,"Toby Army Depot",1,1071,3303_shp,1,0
401,29,t20A-b3F3-sl1D,"Toby Army Depot",0,1011,3304_shp,1,0
401,29,t604-b42F-sl1D,"Toby Army Depot",1,1071,3305_shp,1,0
401,31,t20A-b3F3-sl1F,"Toby Army Depot",0,1011,3296_shp,1,0
401,31,t668-b42F-sl1F,"Toby Army Depot",1,1071,3295_shp,1,0
402,28,t285-b3F3-sl1C,"Eastburg Express",0,1011,3358_shp,1,0
402,29,t285-b3F3-sl1D,"Eastburg Express",0,1011,3359_shp,1,0
402,31,t285-b3F3-sl1F,"Eastburg Express",0,1011,3285_shp,1,0
405,31,t726-b42F-sl1F,"Shawnee Ski",0,1071,3131_shp,1,0
405,31,t834-b3F4-sl1F,"Walmart Eastburg",1,1012,3130_shp,1,0
